STOP_FRISK_DATE_STOP_FRISK_TIME,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,STOP_LOCATION_PRECINCT,PHYSICAL_FORCE_USED_TOTAL,PHYSICAL_FORCE_USED_TF,AGE_CATEGORY,TOTAL_STOPS,SUSPECT_NOT_ARRESTED_FLAG
2021-11-17 23:31:00,ROBBERY,0,0,0,0,0,0,1,0,26,MALE,BLACK HISPANIC,44,1,True,Twentyone-Twentyeight,1,1
2021-11-17 23:42:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,19,MALE,BLACK,75,1,True,Twenty and Under,1,1
2021-11-17 23:46:00,BURGLARY,1,0,0,0,0,0,1,0,61,MALE,BLACK,46,1,True,Thirtyeight-Above,1,0
2021-11-17 23:53:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,25,MALE,WHITE HISPANIC,44,1,True,Twentyone-Twentyeight,1,1
2021-11-18 00:04:00,GRAND LARCENY,0,0,0,0,1,0,0,0,52,MALE,BLACK,84,1,True,Thirtyeight-Above,1,1
2021-11-18 00:04:00,GRAND LARCENY,0,0,0,0,1,0,0,0,31,MALE,BLACK,84,1,True,Twentyeight-Thirtyeight,1,1
2021-11-18 01:12:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,27,MALE,BLACK,44,1,True,Twentyone-Twentyeight,1,1
2021-11-18 01:24:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,20,MALE,BLACK,46,1,True,Twenty and Under,1,1
2021-11-18 01:25:00,OTHER,0,0,1,0,0,0,0,0,36,MALE,WHITE HISPANIC,18,1,True,Twentyeight-Thirtyeight,1,1
2021-11-18 01:39:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,18,MALE,BLACK,46,1,True,Twenty and Under,1,1
2021-11-18 01:39:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,18,MALE,BLACK,46,1,True,Twenty and Under,1,1
2021-11-18 02:46:00,CRIMINAL POSSESION OF WEAPON,1,0,0,0,0,0,1,0,18,MALE,BLACK,42,1,True,Twenty and Under,1,0
